comment_id,text_clean
Ugzw3BsNPOfCF7_JM8N4AaABAg,b view complete
Ugz4K4dRFESHe778I4t4AaABAg,dhvani exactly mera break hogya br judge haww br dhvani koi baat nhi baje nya pata liya
UgzLdMTaq3hjnGbtZ3p4AaABAg,love song wwwwwwaaaaoooo
UgyauGjIyDbaSNYsIj94AaABAg,like song
UgwyPNSdoMmyhFWaWoV4AaABAg,s watch sing song
UgwuS2HwYEurH-O_lkl4AaABAg,reality today s love subah breakup shaam ko new bf
UgwXuffyldTsvbwLz8l4AaABAg,come meme stay nikhil d souza s voice href
UgxWpLoGiJcNQ8iDS2Z4AaABAg,jay siya ram
UgwuJyRHl3zNAr1zONl4AaABAg,love listen
UgxnIHeMAoO5sB5AWlx4AaABAg,href moment memer world aag lagadi hai br hit like r href
UgxoBV2rirgA6EofIj54AaABAg,s watch performance dhvani kapil sharma
UgywtAceBJzKyvld8jN4AaABAg,indonesia br like india song
UgyskPdJzlT8N6prwQ14AaABAg,href future neha kakkar
UgyR1AxQkhgEWSrLxWd4AaABAg,song like br vaaste like br filhal comment
UgxkjUr96H5fRjnEbiZ4AaABAg,song life like href want
Ugwk5NhqXmMczblMhPl4AaABAg,ye song favourite song fan dhvani
UgyOF_WGeHQZTqpZg8J4AaABAg,r come b view
Ugxb01MDeZFs3MBc7B14AaABAg,come see b realize movie song
UgxH6yqFNPPYe4fGqnB4AaABAg,uh guy like br like fr siddharth gupta comment fr siddharth sharma
Ugw-3eQRrIVzJAAiHgh4AaABAg,cry happy afer listen masterpiece song bring memory old self friend simply day good
Ugx6WTZSR481zUzSBuB4AaABAg,october vale hajir hoo
UgxgA8W0YWcTLF0P5Jt4AaABAg,come guyz m like krte hai
Ugyzhk-oTCgDudU6NYd4AaABAg,come daily day
Ugyd4FSyyRqYAiIscTN4AaABAg,fav song
UgxvHEkwtyAEB0sZO0h4AaABAg,heart touch
Ugz2c2aJ1oZhhD0naUZ4AaABAg,kon kon dekh rha hai
UgyEO8lltNwGopWbbwV4AaABAg,watch video daily like
UgwptWMsNSdxy3GTaqZ4AaABAg,ik bar like kiya tha dobara like karaha tu like hogya tha emotional song
